home,away,p_home,p_draw,p_away,commence_time
Ghana,Panama,0.45786746659394595,0.2787019361876193,0.26343059721843465,2026-06-17T23:00:00Z
Uzbekistan,Colombia,0.11302211302211301,0.20884520884520882,0.6781326781326782,2026-06-18T02:00:00Z
Czechia,South Africa,0.490416693922941,0.2816118270425852,0.2279714790344737,2026-06-18T16:00:00Z
Switzerland,Bosnia,0.5910878112712975,0.2342726081258191,0.17463958060288334,2026-06-18T19:00:00Z
Canada,Qatar,0.7302904564315353,0.18257261410788383,0.08713692946058092,2026-06-18T22:00:00Z
Mexico,South Korea,0.5330122727978872,0.26285536740717724,0.20413235979493552,2026-06-19T01:00:00Z
USA,Australia,0.5431627196333079,0.24328612563906685,0.21355115472762531,2026-06-19T19:00:00Z
Scotland,Morocco,0.22869022869022868,0.2910602910602911,0.4802494802494803,2026-06-19T22:00:00Z
Brazil,Haiti,0.8888888888888888,0.07407407407407407,0.037037037037037035,2026-06-20T01:00:00Z
Turkey,Paraguay,0.42457456013844824,0.2985289875973464,0.2768964522642054,2026-06-20T03:00:00Z
Netherlands,Sweden,0.5864864864864865,0.22972972972972974,0.1837837837837838,2026-06-20T17:00:00Z
Germany,Ivory Coast,0.6157382368848026,0.21768523526230393,0.16657652785289345,2026-06-20T20:00:00Z
Ecuador,Curacao,0.7985257985257985,0.12776412776412777,0.07371007371007371,2026-06-21T00:00:00Z
Tunisia,Japan,0.18243451463790444,0.2588597842835131,0.5587057010785824,2026-06-21T04:00:00Z
Spain,Saudi Arabia,0.8712121212121212,0.08712121212121213,0.041666666666666664,2026-06-21T16:00:00Z
Belgium,Iran,0.6805555555555555,0.19965277777777776,0.11979166666666664,2026-06-21T19:00:00Z
Uruguay,Cape Verde,0.6637451902522445,0.20842240273621204,0.1278324070115434,2026-06-21T22:00:00Z
New Zealand,Egypt,0.2050314319784202,0.2502981117658636,0.5446704562557162,2026-06-22T01:00:00Z
Argentina,Austria,0.5854968100562188,0.24698376602867791,0.1675194239151033,2026-06-22T17:00:00Z
France,Iraq,0.8559670781893003,0.10699588477366254,0.037037037037037035,2026-06-22T21:00:00Z
Norway,Senegal,0.44851593990472693,0.2678636863319897,0.28362037376328325,2026-06-23T00:00:00Z
Jordan,Algeria,0.14770506366597572,0.2232750962392656,0.6290198400947586,2026-06-23T03:00:00Z
Portugal,Uzbekistan,0.773403324584427,0.14698162729658792,0.07961504811898512,2026-06-23T17:00:00Z
England,Ghana,0.7299875570302777,0.17420157610949813,0.09581086686022397,2026-06-23T20:00:00Z
Panama,Croatia,0.14698162729658792,0.23884514435695536,0.6141732283464567,2026-06-23T23:00:00Z
Colombia,DR Congo,0.6612021857923497,0.2185792349726776,0.12021857923497267,2026-06-24T02:00:00Z
Bosnia,Qatar,0.6117647058823529,0.24033613445378152,0.14789915966386555,2026-06-24T19:00:00Z
Switzerland,Canada,0.4469325437216619,0.27852317942074584,0.2745442768575923,2026-06-24T19:00:00Z
Scotland,Brazil,0.15981393359354115,0.19569053093086672,0.6444955354755921,2026-06-24T22:00:00Z
Morocco,Haiti,0.7145370574004839,0.18385748845392566,0.1016054541455905,2026-06-24T22:00:00Z
Czechia,Mexico,0.20413235979493552,0.26285536740717724,0.5330122727978872,2026-06-25T01:00:00Z
South Africa,South Korea,0.23857024106400668,0.2726517040731505,0.488778054862843,2026-06-25T01:00:00Z
Curacao,Ivory Coast,0.07394366197183098,0.14788732394366197,0.778169014084507,2026-06-25T20:00:00Z
Ecuador,Germany,0.20047247194697818,0.2467353500885885,0.5527921779644335,2026-06-25T20:00:00Z
Japan,Sweden,0.45786746659394595,0.2787019361876193,0.26343059721843465,2026-06-25T23:00:00Z
Tunisia,Netherlands,0.1468298109010011,0.21690767519466073,0.6362625139043381,2026-06-25T23:00:00Z
Paraguay,Australia,0.4446939921392476,0.28972487366647953,0.26558113419427287,2026-06-26T02:00:00Z
Turkey,USA,0.3546870408463121,0.2697619747281811,0.37555098442550694,2026-06-26T02:00:00Z
Norway,France,0.2140978432403998,0.26038926880589164,0.5255128879537085,2026-06-26T19:00:00Z
Senegal,Iraq,0.6749933157633398,0.20472861999159694,0.1202780642450632,2026-06-26T19:00:00Z
Cape Verde,Saudi Arabia,0.36869340232858994,0.29495472186287197,0.33635187580853815,2026-06-27T00:00:00Z
Uruguay,Spain,0.1748821260180026,0.24046292327475355,0.5846549507072439,2026-06-27T00:00:00Z
New Zealand,Belgium,0.09620991253644316,0.16034985422740525,0.7434402332361516,2026-06-27T03:00:00Z
Egypt,Iran,0.41942168220778003,0.3162852029763587,0.2642931148158614,2026-06-27T03:00:00Z
Croatia,Ghana,0.5760598503740648,0.24937655860349126,0.1745635910224439,2026-06-27T21:00:00Z
Panama,England,0.11266495962182389,0.14733110104392358,0.7400039393342525,2026-06-27T21:00:00Z
Colombia,Portugal,0.2750513155439448,0.2873670460906886,0.43758163836536673,2026-06-27T23:30:00Z
DR Congo,Uzbekistan,0.4085761300938922,0.28661310618526764,0.3048107637208402,2026-06-27T23:30:00Z
Algeria,Austria,0.25535863412823606,0.29924839936902664,0.44539296650273735,2026-06-28T02:00:00Z
Jordan,Argentina,0.06865671641791045,0.1373134328358209,0.7940298507462686,2026-06-28T02:00:00Z
